# std_temp	std_pH	conduct	o2	o2sat	co2	hardness	no2	no3	nh4	po4	cl	sio2	kmno4	k2cr2o7	bod	25400	29600	30400	33400	17300	19400	34500	38100	49700	50390	55800	57500	59300	37880
0.662	23.722	2.973	5.344	4.447	0.000	3.546	0.403	2.362	0.232	0.189	1.460	1.663	1.027	0.842	0.204	1	0	0	0	0	1	1	0	1	1	1	1	1	1
2.026	23.722	3.298	4.101	4.073	0.155	3.389	0.345	2.178	0.211	0.526	1.739	2.218	0.838	0.712	0.150	0	1	0	1	1	1	1	0	1	1	1	1	1	0
3.253	23.422	2.741	3.645	4.157	0.699	2.955	0.461	3.098	0.097	0.316	0.776	3.188	0.851	0.708	0.248	1	1	0	0	1	0	1	0	1	1	1	0	1	1
3.760	24.022	2.657	3.231	3.877	0.000	3.034	6.967	1.933	0.148	0.211	0.818	2.634	0.919	0.736	0.416	1	1	0	0	1	1	1	1	1	1	1	1	0	0
1.928	23.121	2.332	4.515	4.429	0.699	3.113	0.633	2.147	0.190	0.358	1.077	2.599	0.851	0.827	0.345	0	0	1	0	0	1	0	0	1	0	0	1	0	1
2.863	23.422	2.834	3.480	3.806	0.816	3.704	0.230	2.055	0.148	0.400	1.470	2.218	1.189	0.937	0.637	0	0	0	0	0	1	0	0	1	0	1	0	0	0
0.506	23.121	2.797	6.089	4.959	0.155	3.192	0.288	2.454	0.160	0.126	1.045	3.084	0.716	0.536	0.212	0	1	0	0	1	1	0	1	1	0	1	0	0	0
1.071	23.422	2.964	4.681	4.117	0.000	3.349	0.403	3.037	0.186	0.295	1.149	2.738	0.865	0.464	0.301	0	1	0	0	0	0	0	1	1	1	0	0	1	1
2.532	23.121	1.905	3.811	4.019	0.427	2.522	0.633	1.411	0.308	0.316	0.704	1.525	0.892	0.473	0.230	0	0	0	0	0	1	0	0	1	0	1	0	1	1
0.760	24.623	3.094	5.344	4.505	0.427	3.586	0.288	2.301	0.156	0.189	1.366	2.668	0.811	0.583	0.239	0	1	0	0	0	1	0	0	1	1	1	0	1	0
3.623	24.323	2.685	3.562	4.215	0.155	3.113	0.576	1.595	0.118	0.084	0.859	2.218	0.986	0.363	0.239	1	1	0	0	1	1	1	1	0	0	1	0	0	0
4.013	22.821	3.447	2.858	3.512	0.000	3.625	0.864	2.025	0.156	0.842	1.449	2.564	1.095	0.746	0.443	1	1	1	0	1	1	1	1	1	0	0	1	0	1
0.682	22.821	3.038	5.675	4.736	0.427	3.822	0.403	3.160	0.165	0.105	1.542	1.733	1.216	0.751	0.328	0	1	0	1	0	1	1	0	1	1	1	0	1	1
2.045	23.722	2.583	4.474	4.451	0.272	3.625	0.461	3.252	0.232	0.716	1.356	2.183	0.851	0.770	0.283	0	0	0	1	1	1	1	1	1	1	1	1	0	1
3.487	23.422	2.955	4.142	4.839	0.816	3.034	0.403	2.332	0.093	0.189	0.973	3.223	0.892	0.698	0.159	0	1	0	1	1	0	1	1	1	1	1	0	1	1
